City,Country,Total_Customers,Total_Revenue
"Cape Coral","United States",1,221.55
Saint-Denis,Réunion,1,216.54
Aurora,"United States",2,198.50
Molodetšno,Belarus,1,195.58
Apeldoorn,Netherlands,1,194.61
"Santa Bárbara d´Oeste",Brazil,1,194.61
Qomsheh,Iran,1,186.62
London,"United Kingdom",2,180.52
"Ourense (Orense)",Spain,1,177.60
Bijapur,India,1,175.61
Tanza,Philippines,1,175.58
Memphis,"United States",1,174.66
Skikda,Algeria,1,173.63
Omdurman,Sudan,1,169.65
Halisahar,India,1,168.68
"Santa Rosa",Philippines,1,167.67
"Richmond Hill",Canada,1,167.62
Valparai,India,1,166.65
Kolpino,"Russian Federation",1,162.62
Bhilwara,India,1,161.68
Tanauan,Philippines,1,161.65
Hodeida,Yemen,1,160.68
Sumy,Ukraine,1,159.72
Zhoushan,China,1,159.68
Usolje-Sibirskoje,"Russian Federation",1,159.67
Lengshuijiang,China,1,159.64
"Donostia-San Sebastián",Spain,1,158.69
Probolinggo,Indonesia,1,158.66
Salamanca,Mexico,1,157.65
Najafabad,Iran,1,157.65
Maikop,"Russian Federation",1,155.68
Tangail,Bangladesh,1,155.65
Changhwa,Taiwan,1,155.59
Changzhou,China,1,154.60
"Shubra al-Khayma",Egypt,1,153.66
"Cam Ranh",Vietnam,1,152.68
"Nakhon Sawan",Thailand,1,152.67
"Città del Vaticano","Holy See (Vatican City State)",1,152.66
Karnal,India,1,152.65
Pontianak,Indonesia,1,152.65
Balikesir,Turkey,1,152.63
Kragujevac,Yugoslavia,1,151.67
Uruapan,Mexico,1,151.67
Fuyu,China,1,151.66
Mannheim,Germany,1,151.65
Bergamo,Italy,1,151.64
Beira,Mozambique,1,151.63
Arecibo,"Puerto Rico",1,150.66
Cabuyao,Philippines,1,149.65
Yangor,Nauru,1,148.69
Songkhla,Thailand,1,148.67
Brescia,Italy,1,147.69
Usak,Turkey,1,147.65
Ilorin,Nigeria,1,146.69
Akron,"United States",1,146.69
Hsichuh,Taiwan,1,146.64
Sincelejo,Colombia,1,145.70
Belém,Brazil,1,145.68
Batman,Turkey,1,145.67
Vancouver,Canada,1,144.70
Ogbomosho,Nigeria,1,144.68
Naju,"South Korea",1,144.67
Malmö,Sweden,1,144.66
Nantou,Taiwan,1,144.62
Onomichi,Japan,1,143.71
Nyeri,Kenya,1,143.71
"Dos Quebradas",Colombia,1,143.68
"Kowloon and New Kowloon","Hong Kong",1,142.70
Daugavpils,Latvia,1,142.70
Moscow,"Russian Federation",1,142.66
Ciomas,Indonesia,1,142.66
"Vila Velha",Brazil,1,141.71
"Nam Dinh",Vietnam,1,141.70
"Rae Bareli",India,1,141.69
Atlixco,Mexico,1,141.67
Binzhou,China,1,141.67
Tokat,Turkey,1,141.66
Ikerre,Nigeria,1,141.63
Ríobamba,Ecuador,1,140.69
Qinhuangdao,China,1,140.68
Shimonoseki,Japan,1,140.64
"Sterling Heights","United States",1,139.71
Cuauhtémoc,Mexico,1,139.71
Omiya,Japan,1,139.70
