Country,Total_Customers,Total_Revenue,Avg_Revenue_Per_Customer
Réunion,1,216.54,216.54
"Holy See (Vatican City State)",1,152.66,152.66
Nauru,1,148.69,148.69
Sweden,1,144.66,144.66
"Hong Kong",1,142.70,142.70
Thailand,3,419.04,139.68
Belarus,2,277.34,138.67
Greenland,1,137.66,137.66
Turkmenistan,1,136.73,136.73
Chad,1,135.68,135.68
Zambia,1,134.67,134.67
Bangladesh,3,402.05,134.02
"Czech Republic",1,133.71,133.71
Latvia,2,262.40,131.20
Ecuador,3,390.13,130.04
Yugoslavia,2,259.43,129.72
Gambia,1,129.70,129.70
Yemen,4,510.83,127.71
Algeria,3,383.10,127.70
Moldova,1,127.66,127.66
"Puerto Rico",2,254.39,127.20
Kenya,2,253.46,126.73
Vietnam,6,746.28,124.38
Malawi,1,123.72,123.72
Malaysia,3,369.15,123.05
Azerbaijan,2,245.43,122.72
"Virgin Islands, U.S.",1,122.68,122.68
Ukraine,6,730.42,121.74
Spain,5,606.58,121.32
Taiwan,10,1209.95,121.00
Tuvalu,1,120.74,120.74
Philippines,20,2381.32,119.07
Iran,8,950.75,118.84
Armenia,1,118.75,118.75
Italy,7,831.11,118.73
Canada,5,593.63,118.73
Germany,7,831.04,118.72
Colombia,6,709.41,118.24
"French Polynesia",2,235.46,117.73
Romania,2,235.38,117.69
Netherlands,5,586.66,117.33
Peru,4,468.88,117.22
Nepal,1,116.78,116.78
"Sri Lanka",1,116.70,116.70
Nigeria,13,1511.48,116.27
Greece,2,232.46,116.23
Egypt,6,694.39,115.73
Estonia,1,115.70,115.70
"South Korea",5,574.65,114.93
Mozambique,3,344.20,114.73
Liechtenstein,1,114.72,114.72
"Faroe Islands",1,114.72,114.72
Brazil,28,3200.52,114.30
"United States",36,4110.32,114.18
Sudan,2,227.46,113.73
Tanzania,3,341.17,113.72
"North Korea",1,113.69,113.69
Brunei,1,113.65,113.65
Bahrain,1,112.75,112.75
Japan,31,3470.75,111.96
Kuwait,1,111.74,111.74
Iraq,1,111.73,111.73
Hungary,1,111.71,111.71
"United Arab Emirates",3,333.16,111.05
Turkey,15,1662.12,110.81
India,60,6628.28,110.47
Argentina,13,1434.48,110.34
Mexico,30,3307.04,110.23
Poland,8,877.97,109.75
"South Africa",11,1204.15,109.47
Chile,3,328.29,109.43
China,53,5798.74,109.41
"Russian Federation",28,3045.87,108.78
Indonesia,14,1510.33,107.88
Angola,2,215.48,107.74
Anguilla,1,106.65,106.65
"Congo, The Democratic Republic of the",2,212.50,106.25
"Dominican Republic",3,318.23,106.08
Israel,4,422.01,105.50
Pakistan,5,525.72,105.14
"Saudi Arabia",5,523.79,104.76
"French Guiana",1,103.78,103.78
"United Kingdom",9,922.81,102.53
Morocco,3,307.29,102.43
Austria,3,307.22,102.41
Bulgaria,2,204.50,102.25
Finland,1,101.74,101.74
Senegal,1,100.75,100.75
Cameroon,2,200.46,100.23
Kazakstan,2,198.48,99.24
Venezuela,7,683.30,97.61
Myanmar,2,194.48,97.24
"Saint Vincent and the Grenadines",1,96.75,96.75
Cambodia,2,191.47,95.74
Madagascar,1,93.78,93.78
Oman,2,187.50,93.75
France,4,374.04,93.51
"New Zealand",1,92.76,92.76
Paraguay,3,275.38,91.79
Ethiopia,1,91.77,91.77
Bolivia,2,183.53,91.77
Slovakia,1,89.74,89.74
Switzerland,3,252.39,84.13
Tunisia,1,78.77,78.77
Tonga,1,73.82,73.82
Lithuania,1,73.76,73.76
"American Samoa",1,71.80,71.80
Afghanistan,1,67.82,67.82
