Country,Total_Customers,Total_Revenue
India,60,6628.28
China,53,5798.74
"United States",36,4110.32
Japan,31,3470.75
Mexico,30,3307.04
Brazil,28,3200.52
"Russian Federation",28,3045.87
Philippines,20,2381.32
Turkey,15,1662.12
Nigeria,13,1511.48
Indonesia,14,1510.33
Argentina,13,1434.48
Taiwan,10,1209.95
"South Africa",11,1204.15
Iran,8,950.75
"United Kingdom",9,922.81
Poland,8,877.97
Italy,7,831.11
Germany,7,831.04
Vietnam,6,746.28
Ukraine,6,730.42
Colombia,6,709.41
Egypt,6,694.39
Venezuela,7,683.30
Spain,5,606.58
Canada,5,593.63
Netherlands,5,586.66
"South Korea",5,574.65
Pakistan,5,525.72
"Saudi Arabia",5,523.79
Yemen,4,510.83
Peru,4,468.88
Israel,4,422.01
Thailand,3,419.04
Bangladesh,3,402.05
Ecuador,3,390.13
Algeria,3,383.10
France,4,374.04
Malaysia,3,369.15
Mozambique,3,344.20
Tanzania,3,341.17
"United Arab Emirates",3,333.16
Chile,3,328.29
"Dominican Republic",3,318.23
Morocco,3,307.29
Austria,3,307.22
Belarus,2,277.34
Paraguay,3,275.38
Latvia,2,262.40
Yugoslavia,2,259.43
"Puerto Rico",2,254.39
Kenya,2,253.46
Switzerland,3,252.39
Azerbaijan,2,245.43
"French Polynesia",2,235.46
Romania,2,235.38
Greece,2,232.46
Sudan,2,227.46
Réunion,1,216.54
Angola,2,215.48
"Congo, The Democratic Republic of the",2,212.50
Bulgaria,2,204.50
Cameroon,2,200.46
Kazakstan,2,198.48
Myanmar,2,194.48
Cambodia,2,191.47
Oman,2,187.50
Bolivia,2,183.53
"Holy See (Vatican City State)",1,152.66
Nauru,1,148.69
Sweden,1,144.66
"Hong Kong",1,142.70
Greenland,1,137.66
Turkmenistan,1,136.73
Chad,1,135.68
Zambia,1,134.67
"Czech Republic",1,133.71
Gambia,1,129.70
Moldova,1,127.66
Malawi,1,123.72
"Virgin Islands, U.S.",1,122.68
Tuvalu,1,120.74
Armenia,1,118.75
Nepal,1,116.78
"Sri Lanka",1,116.70
Estonia,1,115.70
Liechtenstein,1,114.72
"Faroe Islands",1,114.72
"North Korea",1,113.69
Brunei,1,113.65
Bahrain,1,112.75
Kuwait,1,111.74
Iraq,1,111.73
Hungary,1,111.71
Anguilla,1,106.65
"French Guiana",1,103.78
Finland,1,101.74
Senegal,1,100.75
"Saint Vincent and the Grenadines",1,96.75
Madagascar,1,93.78
"New Zealand",1,92.76
Ethiopia,1,91.77
Slovakia,1,89.74
Tunisia,1,78.77
Tonga,1,73.82
Lithuania,1,73.76
"American Samoa",1,71.80
Afghanistan,1,67.82
